Iteration Per Action,Score,Chosen element number,Percentile
2,6244,1,30
2,4996,1,30
2,2804,1,40
2,3100,1,40
2,5832,1,30
2,1868,1,50
2,2104,1,50
2,2800,1,50
2,6444,1,40
2,588,2,60
2,896,2,60
2,736,2,60
2,300,2,60
2,2452,2,60
2,2960,2,60
2,5280,2,60
2,436,2,60
2,4848,2,60
2,4280,2,60
2,348,2,60
2,528,2,60
2,500,2,60
2,2792,2,60
2,1528,2,60
2,4984,2,60
2,2648,2,60
2,5016,2,60
2,1184,2,60
2,3928,2,60
2,4892,2,60
2,1248,2,60
2,528,2,60
2,2144,2,60
2,1088,2,60
2,2000,2,60
2,3012,2,60
2,2576,2,60
2,1208,2,60
2,4280,2,60
2,1816,2,60
2,3084,2,60
2,5104,2,60
2,4460,2,60
2,2608,2,60
2,1888,2,60
2,4148,2,60
2,2504,2,60
2,2752,2,60
2,3000,2,60
2,2048,2,60
2,1448,2,60
2,1976,2,60
2,2360,2,60
2,2228,2,60
2,1044,2,60
2,2140,2,60
2,2240,2,60
2,2736,2,60
2,2768,2,60
2,4296,2,60
2,888,2,60
2,956,2,60
2,1180,2,60
2,2840,2,60
2,1032,2,60
2,4080,2,60
2,1124,2,60
2,1192,2,60
2,2488,2,60
2,4992,2,60
2,2808,2,60
2,1084,2,60
2,6516,2,60
2,1608,2,60
2,2184,2,60
2,5368,2,60
2,2284,2,60
2,1112,2,60
2,2900,2,60
2,1464,2,60
2,2064,2,60
2,2568,2,60
2,968,2,60
2,4532,2,60
2,1888,2,60
2,4388,2,60
2,1004,2,60
2,4328,2,60
2,6284,2,60
2,2900,2,60
2,4112,2,60
2,516,2,60
2,1268,2,60
2,2108,2,60
2,6660,2,60
2,2760,2,60
2,928,2,60
2,2716,2,60
2,2204,2,60
2,2740,2,60
2,1172,2,60
2,2484,2,60
2,2648,2,60
2,4912,2,60
2,2012,2,60
2,2184,2,60
2,1360,2,60
2,268,2,60
2,2424,2,60
2,1472,2,60
2,1188,2,70
2,5868,2,60
2,2964,2,70
2,1464,2,80
2,3924,2,70
2,2756,2,80
2,1280,2,80
2,1868,2,90
2,560,2,90
2,2760,2,90
2,4708,2,90
4,6912,1,10
1,576,1,100
1,816,1,100
2,2344,2,100
2,324,2,100
2,2564,2,100
4,4876,1,10
4,6496,1,10
4,6116,1,10
4,9560,1,10
4,1156,1,10
4,3060,1,10
4,3132,1,10
4,5988,1,10
4,4708,1,10
4,2852,1,10
4,3168,1,10
4,4972,1,10
4,2956,1,10
4,13284,1,10
4,5676,1,10
4,5008,1,10
4,5040,1,10
4,2652,1,10
4,5728,1,10
4,6648,1,10
4,6812,1,10
4,6116,1,10
4,9860,1,10
4,6460,1,10
4,5656,1,10
4,10884,1,10
4,5220,1,10
4,6796,1,10
4,3896,1,10
4,1548,1,10
4,5460,1,10
4,3116,1,10
4,6856,1,10
4,2796,1,10
4,5616,1,10
4,4376,1,10
4,2328,1,10
4,6036,1,10
4,5472,1,10
4,5036,1,10
4,5272,1,10
4,9696,1,10
4,1384,1,10
4,516,1,10
4,1372,1,10
4,5940,1,10
4,5996,1,10
4,2952,1,10
4,6156,1,10
4,6252,1,10
4,6712,1,10
4,3108,1,10
4,5732,1,10
4,6656,1,10
4,1208,1,10
4,2132,1,10
4,6236,1,10
4,4396,1,10
4,2884,1,10
4,2040,1,10
4,5212,1,10
4,3728,1,10
4,6020,1,10
4,3124,1,10
4,5244,1,10
4,5168,1,10
4,2996,1,10
4,2876,1,10
4,6468,1,10
4,7000,1,10
4,2612,1,10
4,11816,1,10
4,6400,1,10
4,6196,1,10
4,4988,1,10
4,3064,1,10
4,3116,1,10
4,6728,1,10
4,5936,1,10
4,4840,1,10
4,2212,1,10
4,2212,1,10
4,3308,1,10
4,11092,1,10
4,6628,1,10
4,1220,1,10
4,2860,1,10
4,5960,1,10
4,6676,1,10
4,2864,1,10
4,2944,1,10
4,5964,1,10
4,10784,1,10
4,4728,1,10
4,6660,1,10
4,4796,1,10
4,6868,1,10
4,2488,1,10
4,6772,1,10
4,5120,2,20
4,5572,2,20
4,4928,2,20
4,840,2,20
4,2144,2,20
4,2136,2,20
4,5720,2,20
4,2952,2,20
4,9032,2,20
4,2800,2,20
4,4384,2,20
4,4936,2,20
4,6452,2,20
4,6672,2,20
4,7232,2,20
4,4280,2,20
4,5056,2,20
4,3500,2,20
4,2740,2,20
4,2608,2,20
4,6596,2,20
4,1424,2,20
4,2244,2,20
4,6744,2,20
4,9452,2,20
4,4188,2,20
4,2876,2,20
4,1972,2,20
4,6268,2,20
4,5828,2,20
4,6576,2,20
4,6600,2,20
4,4596,2,20
4,5928,2,20
4,5228,2,20
4,3020,2,20
4,14408,2,20
4,2220,2,20
4,6512,2,20
4,4500,2,20
4,6440,2,20
4,2148,2,20
4,2984,2,20
4,5288,2,20
4,6648,2,20
4,6640,2,20
4,6352,2,20
4,4288,2,20
4,6428,2,20
4,4480,2,20
4,3068,2,20
4,10284,2,20
4,6496,2,20
4,3056,2,20
4,2068,2,20
4,2772,2,20
4,2972,2,20
4,5128,2,20
4,4484,2,20
4,4984,2,20
4,2124,2,20
4,1596,2,20
4,7368,2,20
4,5984,2,20
4,6596,2,20
4,10352,2,20
4,2984,2,20
4,6140,2,20
4,2800,2,20
4,1300,2,20
4,5072,2,20
4,2132,2,20
4,3272,2,20
4,2712,2,20
4,6080,2,20
4,6868,2,20
4,6464,2,20
4,1208,2,20
4,2352,2,20
4,4044,2,20
4,2268,2,20
4,348,2,20
4,2220,2,20
4,2792,2,20
4,3248,2,20
4,2812,2,20
4,6100,2,20
4,2576,2,20
4,6548,2,20
4,1096,2,20
4,5708,2,20
4,2804,2,20
4,2656,2,20
4,12380,2,20
4,2680,2,20
4,4832,2,20
4,2648,2,20
4,12832,2,20
4,11372,2,20
4,11260,2,20
4,6512,2,20
4,6012,2,20
4,2864,2,20
4,1760,2,30
4,6696,2,30
4,4960,2,30
4,11268,2,30
4,5248,2,40
4,2960,2,40
4,6824,2,40
4,6496,2,40
4,4992,3,50
4,6836,3,50
4,6268,3,50
4,10644,3,50
4,1296,3,50
4,5480,3,50
4,6288,3,50
4,6080,3,50
4,4596,3,50
4,11316,3,50
4,4224,3,50
4,5184,3,50
4,1260,3,50
4,1284,3,50
4,3000,3,50
4,2256,3,50
4,6180,3,50
4,2428,3,50
4,11392,3,50
4,5856,3,50
4,5480,3,50
4,6668,3,50
4,2760,3,50
4,1360,3,50
4,6704,3,50
4,5744,3,50
4,1576,3,50
4,3064,3,50
4,2928,3,50
4,4428,3,50
4,4756,3,50
4,2100,3,50
4,2672,3,50
4,6224,3,50
4,1012,3,50
4,1012,3,50
4,10000,3,50
4,5920,3,50
4,2756,3,50
4,4672,3,50
4,1204,3,50
4,3224,3,50
4,6220,3,50
4,2528,3,50
4,4988,3,50
4,2600,3,50
4,1580,3,50
4,3308,3,50
4,4940,3,50
4,1052,3,50
4,5248,3,50
4,2116,3,50
4,5444,3,50
4,6132,3,50
4,4968,3,50
4,5300,3,50
4,3116,3,50
4,2084,3,50
4,2852,3,50
4,2520,3,50
4,9952,3,50
4,11444,3,50
4,5888,3,50
4,1220,3,50
4,944,3,50
4,2820,3,50
4,2800,3,50
4,5684,3,50
4,184,3,50
4,5600,3,50
4,1160,3,50
4,2960,3,50
4,1232,3,50
4,2256,3,50
4,6540,3,50
4,3440,3,50
4,640,3,50
4,9360,3,50
4,6020,3,50
4,5508,3,50
4,6772,3,50
4,3004,3,50
4,3040,3,50
4,1044,3,50
4,3028,3,50
4,5920,3,50
4,9468,3,50
4,3508,3,50
4,3308,3,50
4,5492,3,50
4,2996,3,50
4,4308,3,50
4,3016,3,50
4,6664,3,50
4,1008,3,50
4,4300,3,50
4,14756,3,50
4,3016,3,50
4,12000,3,50
4,7808,3,50
4,1584,3,50
4,5644,3,50
4,580,3,60
4,4616,3,50
4,1768,3,60
4,4756,3,60
4,2532,3,70
4,5880,3,70
4,10608,3,70
4,4776,3,70
4,2860,3,80
4,3052,3,80
4,1940,4,90
4,5880,3,80
4,2012,4,90
4,1332,4,90
4,5832,3,80
4,1336,4,90
4,1428,4,90
4,584,4,90
4,948,4,90
4,3004,4,90
4,1248,4,90
4,2940,4,90
4,408,4,90
4,3452,4,90
4,1512,4,90
4,1280,4,90
4,2288,4,90
4,1248,4,90
4,1040,4,90
4,6092,4,90
4,2088,4,90
4,5812,4,90
4,3496,4,90
4,2240,4,90
4,2052,4,90
4,6668,4,90
4,1508,4,90
4,4632,4,90
4,1936,4,90
4,2816,4,90
4,500,4,90
4,572,4,90
4,1156,4,90
