Iteration Per Action,Score,Chosen element number,Percentile
32,13840,13,40
32,6576,13,40
32,5000,13,40
32,6692,13,40
32,23372,13,40
32,13432,13,40
32,6868,13,40
32,6680,13,40
32,2892,13,40
32,15120,13,40
32,10748,13,40
32,9640,13,40
32,13604,13,40
32,11720,13,40
32,6540,13,40
32,11496,13,40
32,6528,13,40
32,11672,13,40
32,11664,13,40
32,13512,13,40
32,14636,13,40
32,11132,13,40
32,13192,13,40
32,6000,13,40
32,13276,13,40
32,13008,13,40
32,14868,13,40
32,11380,13,40
32,13452,13,40
32,14436,13,40
32,5004,13,40
32,13604,13,40
32,15276,13,40
32,6432,13,40
32,11448,13,40
32,11532,13,40
32,13216,13,40
32,15296,13,40
32,11436,13,40
32,15356,13,40
32,15088,13,40
32,15464,13,40
32,15060,13,40
32,2688,13,40
32,6644,13,40
32,13460,13,40
32,13620,13,40
32,6608,13,40
32,15012,13,40
32,5052,13,40
32,11696,13,40
32,11656,13,40
32,15112,13,40
32,14472,13,40
32,6912,13,40
32,14880,13,40
32,13836,13,40
32,6420,13,40
32,14920,13,40
32,11588,13,40
32,13516,13,40
32,13260,13,40
32,15100,13,40
32,14704,13,40
32,11384,13,40
32,6668,13,40
32,13456,13,40
32,14372,13,40
32,15220,13,40
32,11616,13,40
32,14612,13,40
32,11424,13,40
32,11136,13,40
32,11664,13,40
32,11464,13,40
32,14988,13,40
32,10112,13,40
32,5156,13,40
32,9592,13,40
32,6880,13,40
32,6676,13,40
32,11740,13,40
32,6244,13,40
32,6652,13,40
32,6884,13,40
32,6776,13,40
32,13548,13,40
32,15084,13,40
32,6548,13,40
32,6920,13,40
32,13348,13,40
32,13716,13,40
32,2776,13,40
32,15076,13,40
32,15012,13,40
32,13488,13,40
32,14376,13,40
32,11492,13,40
32,13536,13,40
32,6832,17,50
32,14880,13,40
32,14504,17,50
32,6600,17,50
32,11492,17,50
32,6704,17,50
32,6668,17,50
32,11352,17,50
32,14808,17,50
32,5928,17,50
